Unnamed: 0,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,area,reserved_days,occupancy_rate,night_category,distance_to_attraction
5115,25982098,62029943,Alilada,Bang Sue,13.81765,100.53252,Entire home/apt,1500,30,77,1.55,2,363,Inner,2,0.55,28+ days,9.404708872679784
5121,25305365,33648272,Jeenie,Bang Sue,13.82326,100.53257,Entire home/apt,1200,28,28,0.51,22,0,Inner,365,100.0,28+ days,9.993895786728945
5145,25382918,191559670,Chin,Bang Sue,13.8283,100.52833,Private room,1000,2,0,0.0,2,78,Inner,287,78.63,2,10.665930302434907
5147,26019914,33648272,Jeenie,Bang Sue,13.82335,100.53269,Entire home/apt,1200,1,56,1.02,22,0,Inner,365,100.0,1,9.999564769999736
5153,25498625,191559670,Chin,Bang Sue,13.82742,100.52856,Private room,950,2,0,0.0,2,78,Inner,287,78.63,2,10.565743462541207
5181,26070261,21970931,Nui,Bang Sue,13.81975,100.5297,Entire home/apt,741,5,84,1.56,22,139,Inner,226,61.92,5,9.72389162817465
5203,26121134,196132720,The Orientale,Samphanthawong,13.73817,100.51302,Hotel room,1593,1,35,0.65,4,346,Inner,19,5.21,1,5.082791753468572
5205,26121895,196132720,The Orientale,Samphanthawong,13.73815,100.51386,Hotel room,2052,1,24,0.44,4,340,Inner,25,6.85,1,4.991914500323516
5207,25605727,15838378,Charnwet,Bang Sue,13.82982,100.52612,Private room,950,30,8,0.15,2,266,Inner,99,27.12,28+ days,10.903284554140518
5210,26582841,21970931,Nui,Bang Sue,13.82887,100.52606,Entire home/apt,1457,15,63,1.18,22,120,Inner,245,67.12,15,10.806551620620843
5214,26142174,196516509,Siree,Bang Phlat,13.78691,100.49112,Entire home/apt,1732,7,0,0.0,1,180,Inner,185,50.68,7,9.27246639083628
5220,25647011,33648272,Jeenie,Bang Sue,13.82332,100.53261,Entire home/apt,1200,14,43,0.78,22,364,Inner,1,0.27,14,9.998952898666222
5221,26163651,53849895,Philip,Bang Sue,13.82869,100.52903,Entire home/apt,1004,2,1,0.02,1,0,Inner,365,100.0,2,10.682831974296477
5241,25660661,69640446,Chanyika & Tang Mo,Bang Phlat,13.77288,100.49429,Private room,600,2,73,1.33,3,346,Inner,19,5.21,2,8.139944830352915
5253,26262470,21970931,Nui,Bang Sue,13.82921,100.52711,Entire home/apt,900,20,49,0.89,22,107,Inner,258,70.68,20,10.80403288560919
5261,26264275,21970931,Nui,Bang Sue,13.82921,100.52711,Entire home/apt,850,20,60,1.1,22,123,Inner,242,66.3,20,10.80403288560919
5296,25826933,62029943,Alilada,Bang Sue,13.82005,100.5323,Entire home/apt,1500,30,130,2.38,2,362,Inner,3,0.82,28+ days,9.664342702327538
5314,26856669,50965084,Ruthai,Bang Sue,13.81217,100.52244,Entire home/apt,700,180,0,0.0,2,365,Inner,0,0.0,28+ days,9.255437468029564
5328,26888877,21970931,Nui,Bang Sue,13.81875,100.53227,Entire home/apt,720,5,55,1.03,22,114,Inner,251,68.77,5,9.528723835285325
5329,26889339,21970931,Nui,Bang Sue,13.81875,100.53227,Entire home/apt,720,5,75,1.41,22,127,Inner,238,65.21,5,9.528723835285325
5335,26936942,111880583,Yanin,Bang Sue,13.80739,100.53518,Private room,590,2,5,0.09,2,246,Inner,119,32.6,2,8.237299827750126
5359,26430910,31217103,Nutsinee,Bang Sue,13.81742,100.51056,Private room,1000,1,2,0.04,1,365,Inner,0,0.0,1,10.380153962704242
5376,26474913,33466877,Napat,Bang Phlat,13.79045,100.48315,Entire home/apt,4800,2,0,0.0,1,0,Inner,365,100.0,2,10.199997186259713
5469,27337630,32455266,Amy,Bang Sue,13.82206,100.53266,Entire home/apt,658,8,60,1.12,10,39,Inner,326,89.32,8,9.864272639111196
5490,28138188,65580784,Roman,Thon buri,13.70583,100.49115,Entire home/apt,500,3,5,0.1,2,99,Inner,266,72.88,3,8.206734360797608
5493,28141784,28860401,Chairin,Bang Phlat,13.80135,100.50703,Entire home/apt,700,28,21,0.41,1,210,Inner,155,42.47,28+ days,9.137828546133115
5524,27473119,21970931,Nui,Bang Sue,13.81882,100.5322,Entire home/apt,890,5,71,1.33,22,83,Inner,282,77.26,5,9.538458136893412
5532,27856229,210393828,Ak,Thon buri,13.7119505,100.4766946,Entire home/apt,1200,1,107,2.16,1,290,Inner,75,20.55,1,9.427011989005457
5624,27994091,211436119,Siwanart,Thon buri,13.71736,100.48023,Entire home/apt,1316,1,0,0.0,1,365,Inner,0,0.0,1,8.897352965688825
5635,28305772,213755808,Kyoeyo,Bang Phlat,13.78037,100.4903,Private room,450,1,1,0.04,1,89,Inner,276,75.62,1,8.935424461260318
5668,27594254,112396294,Jay,Bang Sue,13.80638,100.5315,Entire home/apt,750,30,3,0.06,2,141,Inner,224,61.37,28+ days,8.271624273925253
5746,28415370,43389865,Annie,Bang Sue,13.8044,100.53352,Private room,1964,1,1,0.03,3,154,Inner,211,57.81,1,7.987867141049519
5747,28417104,214545808,Jedsada,Bang Phlat,13.78573,100.47072,Private room,1200,1,0,0.0,1,90,Inner,275,75.34,1,11.058410189742775
5769,28449419,214764197,Suzie,Thon buri,13.72722,100.48926,Private room,2632,1,0,0.0,1,365,Inner,0,0.0,1,7.7272265082523655
5795,28948230,218201820,Chaiyot,Samphanthawong,13.7413,100.50194,Private room,2000,1,0,0.0,1,81,Inner,284,77.81,1,6.297459367996631
5812,28537313,32455266,Amy,Bang Sue,13.82039,100.53363,Entire home/apt,658,8,35,0.69,10,144,Inner,221,60.55,8,9.65667041198304
5834,28978963,60847789,Anita,Bang Phlat,13.80855,100.51213,Private room,914,2,4,0.08,1,365,Inner,0,0.0,2,9.458436679218229
5872,28818379,217341248,Caitlin,Thon buri,13.73757,100.49214,Private room,2597,1,0,0.0,1,362,Inner,3,0.82,1,7.339709276118957
5930,28846804,217522440,Kulanat,Bang Sue,13.8196,100.52475,Private room,1351,2,1,0.02,1,88,Inner,277,75.89,2,9.901753061992245
5933,29116260,190184541,Phueng,Bang Sue,13.82816,100.53759,Entire home/apt,480,15,42,0.85,3,279,Inner,86,23.56,15,10.372738365882437
5995,28923351,218015220,สุบุญยนุช,Thon buri,13.72859,100.48979,Entire home/apt,2565,1,0,0.0,1,90,Inner,275,75.34,1,7.650540183078706
6030,29249391,131270916,Magic,Thon buri,13.72136,100.49274,Entire home/apt,1300,20,49,0.99,33,309,Inner,56,15.34,20,7.477752817079574
6056,29482817,39487575,Saifon,Bang Sue,13.81818,100.52939,Entire home/apt,800,5,35,0.69,2,305,Inner,60,16.44,5,9.572072042980535
6068,29659566,21970931,Nui,Bang Sue,13.81889,100.53213,Entire home/apt,740,5,54,1.09,22,131,Inner,234,64.11,5,9.548194795826678
6113,29699771,223496284,Matt,Bang Sue,13.82635,100.51704,Private room,700,1,1,0.02,1,180,Inner,185,50.68,1,10.92257142961165
6166,29971533,125100210,Nutthanee,Samphanthawong,13.73666,100.51131,Private room,590,1,20,0.4,3,363,Inner,2,0.55,1,5.266240202442999
6167,29972783,125100210,Nutthanee,Samphanthawong,13.73879,100.51072,Private room,650,1,23,0.46,3,331,Inner,34,9.32,1,5.3335716761335465
6183,29771339,27919382,Nancy,Bang Phlat,13.80107,100.50671,Entire home/apt,400,120,6,0.12,2,206,Inner,159,43.56,28+ days,9.135505232645729
